"hostname","ifname","timeslot","max_metric_value","mean_metric_value"
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-28 20:00:00",61535962.61333334,45871336.194464214
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-28 21:00:00",55778631.73770492,46295048.09299719
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-28 22:00:00",81650341.6345515,50141172.582517795
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-28 23:00:00",53838654.93687708,40554251.5722653
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 00:00:00",77980203.05263157,46504444.431598105
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 01:00:00",67285349.54054055,53810348.15399351
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 02:00:00",63275942.75907591,47501168.28272627
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 03:00:00",54462345.10526316,43881943.305048965
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 04:00:00",52176832.273037545,39821710.1767948
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 05:00:00",23990867.056478404,16151287.270028366
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 06:00:00",35122664.59060403,22976667.263512142
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 07:00:00",36949733.68,26402811.04723895
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 08:00:00",47713781.74834437,37811876.76237759
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 09:00:00",53550092.16,43928184.23914449
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 10:00:00",47085462.222222224,37324034.07982798
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 11:00:00",44532933.20805369,37291552.539623156
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 12:00:00",58549441.57333333,44665642.71291313
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 13:00:00",57477656.10526316,42712434.33341514
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 14:00:00",51135094.55518395,41028577.1061167
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 15:00:00",75358006.72,60454812.80274726
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 16:00:00",65109402.549152546,42613130.31248727
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 17:00:00",47939710.437710434,39187834.876732424
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 18:00:00",52920039.894039735,38076720.33239965
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 19:00:00",56367819.089108914,41921133.60241184
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 20:00:00",50183310.574257426,41564283.6007588
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 21:00:00",45342135.12,36604620.533413835
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 22:00:00",66281188.526315786,52136409.96797156
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-29 23:00:00",63793496.21333333,44807212.77098036
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 00:00:00",62371310.84563758,50890135.20952577
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 01:00:00",69585444.52980132,50656142.20762403
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 02:00:00",63980639.64864865,48738790.71046256
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 03:00:00",57853204.13605442,29933087.119113572
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 04:00:00",18913601.377483442,14112806.583814666
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 05:00:00",28525884.468227424,18983412.32233582
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 06:00:00",34100399.04318937,23123586.75949454
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 07:00:00",44239424.68874172,31640647.565923363
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 08:00:00",48916842.09271523,38132415.614888765
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 09:00:00",51972640,43442745.49222093
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 10:00:00",55632368.2384106,24996490.50473635
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 11:00:00",50718546.0338983,41194704.15009137
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 12:00:00",46581763.205387205,35956956.39920684
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 13:00:00",45359210.657807305,37874345.69987331
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 14:00:00",44329634.79194631,37978006.82367158
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 15:00:00",43109741.764309764,35184682.54128423
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 16:00:00",51856280.18729097,37831649.83446331
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 17:00:00",43148712.34899329,33409574.70999428
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 18:00:00",46829006.11147541,36360592.02127541
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 19:00:00",56992583.30201342,46256611.104805015
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 20:00:00",52502654.577181205,42580658.61198649
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 21:00:00",49223337.88552189,42269602.07200404
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 22:00:00",48505809.89966555,38104693.03307304
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-30 23:00:00",55396050.754966885,45330843.935491875
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 00:00:00",56248557.8989899,30009940.069199894
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 01:00:00",33703354.37037037,23198689.66602363
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 02:00:00",21359793.215547703,17239312.35335357
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 03:00:00",30068148.25082508,17935955.55472348
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 04:00:00",17326848.646464646,13417695.906909015
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 05:00:00",20255324.4295302,15311457.488739457
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 06:00:00",28950992.66889632,21303941.906133108
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 07:00:00",39139900.62458472,31204354.043206453
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 08:00:00",42953447.26779661,33182416.427756548
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 09:00:00",50652369.2027027,37133430.26546478
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 10:00:00",50251070.75083057,40061182.1908767
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 11:00:00",56161051.11409396,46176001.11268131
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 12:00:00",49234355.526315786,41569777.81538515
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 13:00:00",48261201.176470585,39791175.17728436
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 14:00:00",50599789.25874126,42200438.40376131
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 15:00:00",50237476.266666666,40689256.6993139
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 16:00:00",50855078.306188926,39557711.72711978
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 17:00:00",52404869.63265306,42562074.2284152
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 18:00:00",53374113.66442953,39829877.22610529
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 19:00:00",49146861.79124579,38992214.187166385
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 20:00:00",41130444.02666666,34125074.418816686
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 21:00:00",46250256,38979115.72465399
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 22:00:00",65293307.03630363,51502845.183130614
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-01 23:00:00",55115831.194630876,37021627.56356355
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-02 00:00:00",35426447.047619045,28713451.17935692
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-02 01:00:00",50422031.97359736,28053580.060512166
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-02 02:00:00",20502423.84,15637377.692895684
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-02 03:00:00",23725838.16,14843828.725705273
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-02 04:00:00",24358638.72972973,17734908.977360874
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-02 05:00:00",24565849.993355483,18526357.6419154
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-07-02 06:00:00",36386025.777777776,24545641.372322656
